bucket_id,name,created_at
background-videos,13493811_1920_1080_60fps.mp4,2026-03-30 14:54:55.291518+00
hotel-images,front.png,2026-04-16 11:34:22.881468+00
hotel-images,side.png,2026-04-16 11:34:22.783206+00
hotel-images,back.png,2026-04-16 11:34:21.189634+00
locations,madina.webp,2026-04-16 11:34:21.583219+00
locations,hero-bg-video.webm,2026-03-30 15:03:32.366233+00
locations,jeddah.webp,2026-03-30 14:56:24.845136+00
locations,riyadh.webp,2026-03-30 14:56:23.508731+00
locations,medina.webp,2026-03-30 14:56:23.333213+00
locations,mecca.webp,2026-03-30 14:56:22.7951+00
locations,locations/riyadh.png,2026-03-30 14:55:08.708745+00
locations,locations/mecca.png,2026-03-30 14:55:08.001623+00
locations,locations/madina.png,2026-03-30 14:55:07.545604+00
locations,locations/jeddah.png,2026-03-30 14:55:06.973065+00
room-images,side.png,2026-04-16 11:34:23.605369+00
room-images,front.png,2026-04-16 11:34:23.54037+00
room-images,back.png,2026-04-16 11:34:23.172514+00
room-images,room_1/1775482119078_fvyh7u2bia5.jpeg,2026-04-06 13:28:40.151554+00
